[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717418.875199519] [fleet_scheduler]: Cost for robot_1 -> deliver_meds_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.876449375] [fleet_scheduler]: Cost for robot_1 -> pickup_samples_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.877596822] [fleet_scheduler]: Cost for robot_1 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.878567648] [fleet_scheduler]: Cost for robot_1 -> deliver_food_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.879502636] [fleet_scheduler]: Cost for robot_1 -> clean_room_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717418.880393735] [fleet_scheduler]: Cost for robot_1 -> transport_equipment_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.881299420] [fleet_scheduler]: Cost for robot_1 -> restock_supplies_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.882248599] [fleet_scheduler]: Cost for robot_1 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.883167290] [fleet_scheduler]: Cost for robot_1 -> deliver_lab_results_1: distance=8.0, congestion=6.0, predicted=45.00
[INFO] [1775717418.884048219] [fleet_scheduler]: Cost for robot_1 -> support_mri_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.884908817] [fleet_scheduler]: Cost for robot_2 -> deliver_meds_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.885850463] [fleet_scheduler]: Cost for robot_2 -> pickup_samples_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.886985984] [fleet_scheduler]: Cost for robot_2 -> assist_patient_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717418.888273809] [fleet_scheduler]: Cost for robot_2 -> deliver_food_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.889647450] [fleet_scheduler]: Cost for robot_2 -> clean_room_1: distance=1.0, congestion=0.0, predicted=7.03
[INFO] [1775717418.891345066] [fleet_scheduler]: Cost for robot_2 -> transport_equipment_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.893475098] [fleet_scheduler]: Cost for robot_2 -> restock_supplies_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.895805484] [fleet_scheduler]: Cost for robot_2 -> move_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.898083978] [fleet_scheduler]: Cost for robot_2 -> deliver_lab_results_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717418.900238638] [fleet_scheduler]: Cost for robot_2 -> support_mri_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.902509464] [fleet_scheduler]: Cost for robot_3 -> deliver_meds_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.904791589] [fleet_scheduler]: Cost for robot_3 -> pickup_samples_1: distance=4.0, congestion=2.0, predicted=21.02
