[INFO] [1775842277.341456223] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775842277.341944706] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775842307.342692411] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775842307.343543496] [fleet_scheduler]: Generated 1 new tasks
[INFO] [1775842307.345584114] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_1(priority=high): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=12.71
[INFO] [1775842307.346732800] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_2(priority=critical): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.51
[INFO] [1775842307.347801720] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_ward_a(priority=medium): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=18.92
[INFO] [1775842307.348776918] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_er(priority=high): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=6.32
[INFO] [1775842307.350209535] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_1(priority=critical): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=10.51
[INFO] [1775842307.351932978] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_2(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775842307.353248901] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_1(priority=high): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=23.11
[INFO] [1775842307.354744377] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_2(priority=critical): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=22.50
[INFO] [1775842307.356078829] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_1(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775842307.357742075] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_2(priority=high): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=14.71
[INFO] [1775842307.359780200] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> equip_move_1(priority=medium): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=40.50
[INFO] [1775842307.361905196] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=-2.00, battery_penalty=0.00, total=31.01
[INFO] [1775842307.364051546] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_2(priority=medium): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=33.10
[INFO] [1775842307.366296499] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> document_delivery_1(priority=low): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=19.02
[INFO] [1775842307.368524254] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_mover_task_1(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775842307.370765077] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_1(priority=high): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.52
[INFO] [1775842307.373089748] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_2(priority=critical): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=5.51
[INFO] [1775842307.375298009] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> clean_ward_a(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775842307.377468361] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> clean_er(priority=high): distance=1.0, time=7.03, spec_bonus=0.00, battery_penalty=0.00, total=4.92
[INFO] [1775842307.379684523] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> patient_move_1(priority=critical): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=7.51
[INFO] [1775842307.381955995] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> patient_move_2(priority=critical): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=13.51
[INFO] [1775842307.384091089] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> lab_samples_1(priority=high): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=18.91
[INFO] [1775842307.386133483] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> lab_samples_2(priority=critical): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=19.50
[INFO] [1775842307.388313960] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> supply_stock_1(priority=medium): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=8.12
[INFO] [1775842307.390564631] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> supply_stock_2(priority=high): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=10.52
[INFO] [1775842307.392552210] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> equip_move_1(priority=medium): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=35.10
[INFO] [1775842307.394635813] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> food_delivery_1(priority=low): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=37.01
[INFO] [1775842307.396922283] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> food_delivery_2(priority=medium): distance=8.0, time=45.00, spec_bonus=-2.00, battery_penalty=0.00, total=38.50
[INFO] [1775842307.398915504] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> document_delivery_1(priority=low): distance=5.0, time=27.01, spec_bonus=-2.00, battery_penalty=0.00, total=25.01
